date,plot,rotation,VWC_5,VWC_25,VWC_55,VWC_85,,
1/30/2018,P1,Conventional,0.046405026,0.191035496,0.233665003,0.264777277,,
1/30/2018,P2,Conventional,0.044022205,0.194467974,0.248833909,0.320759572,,
1/30/2018,P3,Diverse,,,0.250284959,0.286931824,,
1/30/2018,P4,Diverse,,,0.253863557,0.322208388,,
1/31/2018,P1,Conventional,0.043839619,0.188588785,0.233285912,0.264537415,,
1/31/2018,P2,Conventional,0.041220818,0.190222734,0.248260419,0.320538261,,
1/31/2018,P3,Diverse,,,0.249984991,0.286920815,,
1/31/2018,P4,Diverse,,,0.25323191,0.32178706,,
2/1/2018,P1,Conventional,0.043972472,0.182456381,0.233135506,0.263615259,,
2/1/2018,P2,Conventional,0.041825737,0.186472755,0.247950077,0.319782283,,
2/1/2018,P3,Diverse,,,0.249833964,0.286354146,,
2/1/2018,P4,Diverse,,,0.252563179,0.320693544,,
2/2/2018,P1,Conventional,0.038961255,0.174663372,0.233430269,0.261556107,,
2/2/2018,P2,Conventional,0.038519712,0.180719076,0.248371698,0.318576435,,
2/2/2018,P3,Diverse,,,0.250376033,0.284705146,,
2/2/2018,P4,Diverse,,,0.252258815,0.319885228,,
2/3/2018,P1,Conventional,0.038021479,0.153846589,0.233233731,0.26054556,,
2/3/2018,P2,Conventional,0.037950542,0.169248866,0.248166521,0.317629757,,
2/3/2018,P3,Diverse,,,0.250541658,0.283774272,,
2/3/2018,P4,Diverse,,,0.251945327,0.318975031,,
2/4/2018,P1,Conventional,0.040685194,0.144464474,0.232810812,0.260017861,,
2/4/2018,P2,Conventional,0.039713601,0.164350376,0.247602921,0.316881512,,
2/4/2018,P3,Diverse,,,0.249985083,0.283099839,,
2/4/2018,P4,Diverse,,,0.250989629,0.317955166,,
2/5/2018,P1,Conventional,0.041055877,0.144362268,0.232876938,0.259004902,,
2/5/2018,P2,Conventional,0.039747006,0.164044862,0.245892266,0.315894673,,
2/5/2018,P3,Diverse,,,0.23745548,0.281734638,,
2/5/2018,P4,Diverse,,,0.246335993,0.317280307,,
2/6/2018,P1,Conventional,0.039651854,0.141586792,0.232750707,0.25828014,,
2/6/2018,P2,Conventional,0.038991626,0.159749443,0.243776499,0.315009247,,
2/6/2018,P3,Diverse,,,0.230131923,0.280471454,,
2/6/2018,P4,Diverse,,,0.244750582,0.316458736,,
2/7/2018,P1,Conventional,0.039229976,0.135764958,0.232654567,0.257690509,,
2/7/2018,P2,Conventional,0.038224562,0.152855973,0.243257868,0.314122609,,
2/7/2018,P3,Diverse,,,0.228738538,0.279390287,,
2/7/2018,P4,Diverse,,,0.244314211,0.315592108,,
2/8/2018,P1,Conventional,0.039825058,0.130512973,0.232316202,0.25721048,,
2/8/2018,P2,Conventional,0.038751059,0.147117796,0.24236358,0.313262389,,
2/8/2018,P3,Diverse,,,0.226896453,0.278377381,,
2/8/2018,P4,Diverse,,,0.243636975,0.314874755,,
2/9/2018,P1,Conventional,0.040156752,0.125306625,0.231900009,0.256560226,,
2/9/2018,P2,Conventional,0.038798682,0.142704608,0.241698916,0.312437569,,
2/9/2018,P3,Diverse,,,0.226423264,0.277364996,,
2/9/2018,P4,Diverse,,,0.243109663,0.314429092,,
2/10/2018,P1,Conventional,0.041424733,0.123794216,0.231650078,0.256189879,,
2/10/2018,P2,Conventional,0.03981269,0.141475757,0.241402556,0.311752124,,
2/10/2018,P3,Diverse,,,0.226150276,0.276367308,,
2/10/2018,P4,Diverse,,,0.242645144,0.314263757,,
2/11/2018,P1,Conventional,0.042571415,0.12469685,0.231488212,0.255972381,,
2/11/2018,P2,Conventional,0.040904969,0.143345726,0.241160309,0.311380514,,
2/11/2018,P3,Diverse,,,0.226083121,0.275587359,,
2/11/2018,P4,Diverse,,,0.242291124,0.314322303,,
2/12/2018,P1,Conventional,0.043166796,0.127003485,0.230089279,0.255842784,,
2/12/2018,P2,Conventional,0.041702023,0.146728764,0.239225759,0.31096344,,
2/12/2018,P3,Diverse,,,0.224669245,0.275231837,,
2/12/2018,P4,Diverse,,,0.241393486,0.314518654,,
2/13/2018,P1,Conventional,0.048093935,0.170812147,0.229961762,0.255622288,,
2/13/2018,P2,Conventional,0.042901341,0.155384689,0.238117897,0.310462107,,
2/13/2018,P3,Diverse,,,0.224424747,0.274496562,,
2/13/2018,P4,Diverse,,,0.24086725,0.31472194,,
2/14/2018,P1,Conventional,0.058404571,0.241118548,0.231216521,0.255427982,,
2/14/2018,P2,Conventional,0.047178247,0.165334294,0.239043594,0.310080937,,
2/14/2018,P3,Diverse,0.04268561,0.127903454,0.224968985,0.274194483,,
2/14/2018,P4,Diverse,0.04185159,0.150130222,0.241062585,0.314893119,,
2/15/2018,P1,Conventional,0.060560257,0.242300846,0.232126434,0.255431123,,
2/15/2018,P2,Conventional,0.049568704,0.166588543,0.241188508,0.310080961,,
2/15/2018,P3,Diverse,0.051594138,0.129548247,0.237536561,0.274506405,,
2/15/2018,P4,Diverse,0.044767564,0.152648921,0.243087452,0.315214926,,
2/16/2018,P1,Conventional,0.064678186,0.245767634,0.234424322,0.262591081,,
2/16/2018,P2,Conventional,0.054787432,0.171052912,0.248974592,0.319681997,,
2/16/2018,P3,Diverse,0.055275231,0.134638041,0.256049382,0.2772838,,
2/16/2018,P4,Diverse,0.04970813,0.158365033,0.247933893,0.315991344,,
2/17/2018,P1,Conventional,0.066189342,0.249298364,0.234878539,0.266677325,,
2/17/2018,P2,Conventional,0.051397808,0.177643199,0.249438085,0.322710299,,
2/17/2018,P3,Diverse,0.045035092,0.141351454,0.254500943,0.277502645,,
2/17/2018,P4,Diverse,0.046047086,0.167658504,0.245834526,0.316872282,,
2/18/2018,P1,Conventional,0.066802545,0.251904003,0.234663346,0.264285434,,
2/18/2018,P2,Conventional,0.049537289,0.181695745,0.249276883,0.321196885,,
2/18/2018,P3,Diverse,0.046381519,0.144739993,0.237258616,0.277640377,,
2/18/2018,P4,Diverse,0.045389821,0.17356981,0.245398417,0.317596307,,
2/19/2018,P1,Conventional,0.067944786,0.253652421,0.234339736,0.262661338,,
2/19/2018,P2,Conventional,0.049716059,0.185358134,0.248934034,0.319633078,,
2/19/2018,P3,Diverse,0.048724641,0.14883678,0.242536554,0.277928982,,
2/19/2018,P4,Diverse,0.046066424,0.178187028,0.246707632,0.318234492,,
2/20/2018,P1,Conventional,0.070929223,0.2580401,0.234955062,0.267692556,,
2/20/2018,P2,Conventional,0.055242498,0.19012971,0.249412277,0.323109023,,
2/20/2018,P3,Diverse,0.081959809,0.154238013,0.248604539,0.304876086,,
2/20/2018,P4,Diverse,0.053879375,0.18094454,0.255244056,0.320978432,,
2/21/2018,P1,Conventional,0.078413608,0.297489943,0.236111029,0.272640619,,
2/21/2018,P2,Conventional,0.104017766,0.20816525,0.250840114,0.325489639,,
2/21/2018,P3,Diverse,0.193603445,0.174818054,0.251117703,0.314360338,,
2/21/2018,P4,Diverse,0.08544727,0.209469557,0.256483846,0.336327022,,
2/22/2018,P1,Conventional,0.084162159,0.268769219,0.235846939,0.272568149,,
2/22/2018,P2,Conventional,0.091675314,0.20761704,0.250964247,0.325322722,,
2/22/2018,P3,Diverse,0.103773454,0.173679,0.250564458,0.307361346,,
2/22/2018,P4,Diverse,0.071806214,0.198732502,0.256302835,0.32786495,,
2/23/2018,P1,Conventional,0.088341045,0.26990153,0.23536352,0.271872648,,
2/23/2018,P2,Conventional,0.097911311,0.213330426,0.25027359,0.324624432,,
2/23/2018,P3,Diverse,0.125315878,0.181787305,0.249587994,0.298624322,,
2/23/2018,P4,Diverse,0.077716216,0.206698049,0.255784251,0.329283042,,
2/24/2018,P1,Conventional,0.094450952,0.279774184,0.235617251,0.272276721,,
2/24/2018,P2,Conventional,0.119448081,0.222842224,0.250580002,0.325056879,,
2/24/2018,P3,Diverse,0.183537175,0.19564395,0.249800847,0.30473016,,
2/24/2018,P4,Diverse,0.091637747,0.217930872,0.255863669,0.332262677,,
2/25/2018,P1,Conventional,0.103537933,0.283939013,0.235512579,0.272233849,,
2/25/2018,P2,Conventional,0.159958848,0.23353269,0.25058937,0.32517711,,
2/25/2018,P3,Diverse,0.185227507,0.204574854,0.249459941,0.308982147,,
2/25/2018,P4,Diverse,0.127024262,0.220418592,0.25558064,0.332705481,,
2/26/2018,P1,Conventional,0.114369262,0.275226044,0.235595096,0.272508983,,
2/26/2018,P2,Conventional,0.183486067,0.229078782,0.250783983,0.325470871,,
2/26/2018,P3,Diverse,0.148263097,0.213910517,0.250173202,0.308294359,,
2/26/2018,P4,Diverse,0.13664572,0.221086199,0.256062293,0.330722585,,
2/27/2018,P1,Conventional,0.127098403,0.273522936,0.235514534,0.272406814,,
2/27/2018,P2,Conventional,0.19613077,0.235286834,0.250665905,0.325465025,,
2/27/2018,P3,Diverse,0.148387042,0.221166499,0.250237353,0.304610301,,
2/27/2018,P4,Diverse,0.153034412,0.226878843,0.255921175,0.33013525,,
2/28/2018,P1,Conventional,0.166099031,0.275375932,0.235357473,0.272239098,,
2/28/2018,P2,Conventional,0.228454099,0.250680533,0.250420537,0.32541024,,
2/28/2018,P3,Diverse,0.167444477,0.233653088,0.249807082,0.307304575,,
2/28/2018,P4,Diverse,0.201913992,0.235187238,0.25556692,0.331450653,,
3/1/2018,P1,Conventional,0.194903892,0.274753393,0.235309164,0.272239096,,
3/1/2018,P2,Conventional,0.221087644,0.247728298,0.250353257,0.325546699,,
3/1/2018,P3,Diverse,0.154141403,0.23760277,0.249910471,0.307557197,,
3/1/2018,P4,Diverse,0.200118362,0.235990084,0.255635868,0.330481383,,
3/2/2018,P1,Conventional,0.177322177,0.268646669,0.235224613,0.271994049,,
3/2/2018,P2,Conventional,0.189203749,0.23807346,0.250250801,0.324690958,,
3/2/2018,P3,Diverse,0.119459011,0.231144559,0.250090471,0.299141519,,
3/2/2018,P4,Diverse,0.157013214,0.236601568,0.25586161,0.328044584,,
3/3/2018,P1,Conventional,0.154216094,0.260251531,0.235260843,0.27127038,,
3/3/2018,P2,Conventional,0.151172998,0.233296904,0.250365666,0.324324993,,
3/3/2018,P3,Diverse,0.073162049,0.22691653,0.250589281,0.29468847,,
3/3/2018,P4,Diverse,0.108084422,0.238065584,0.255979699,0.326438185,,
3/4/2018,P1,Conventional,0.136683854,0.256329464,0.235087757,0.269339564,,
3/4/2018,P2,Conventional,0.131267714,0.231469682,0.250262194,0.323606845,,
3/4/2018,P3,Diverse,0.04806714,0.225004694,0.245574527,0.292282528,,
3/4/2018,P4,Diverse,0.084159392,0.242428019,0.256072748,0.324862175,,
3/5/2018,P1,Conventional,0.116556879,0.251765269,0.234804104,0.267800132,,
3/5/2018,P2,Conventional,0.108574022,0.229551157,0.249726414,0.322290926,,
3/5/2018,P3,Diverse,0.030189106,0.222490869,0.242165698,0.291226193,,
3/5/2018,P4,Diverse,0.066140591,0.24637656,0.255897123,0.324258613,,
3/6/2018,P1,Conventional,0.114078595,0.249986099,0.234520613,0.266565481,,
3/6/2018,P2,Conventional,0.103453142,0.227637844,0.249227324,0.321501606,,
3/6/2018,P3,Diverse,0.027129213,0.221620014,0.242119279,0.290755208,,
3/6/2018,P4,Diverse,0.062490254,0.253453509,0.25549171,0.323845294,,
3/7/2018,P1,Conventional,0.11119889,0.247597024,0.234227208,0.265583647,,
3/7/2018,P2,Conventional,0.085383162,0.227127188,0.248926805,0.320680846,,
3/7/2018,P3,Diverse,0.024952583,0.220398806,0.243186268,0.289776821,,
3/7/2018,P4,Diverse,0.052818074,0.255659058,0.255113733,0.323376398,,
3/8/2018,P1,Conventional,0.11443932,0.247213761,0.23422922,0.264327416,,
3/8/2018,P2,Conventional,0.084534692,0.228291144,0.24903624,0.319709315,,
3/8/2018,P3,Diverse,0.026350604,0.219946111,0.243223038,0.288700408,,
3/8/2018,P4,Diverse,0.053069528,0.255287012,0.254899763,0.322981022,,
3/9/2018,P1,Conventional,0.114289176,0.247398002,0.234193056,0.263454021,,
3/9/2018,P2,Conventional,0.082591087,0.230074311,0.249078578,0.319183062,,
3/9/2018,P3,Diverse,0.02455982,0.219876796,0.243306829,0.287813331,,
3/9/2018,P4,Diverse,0.049948823,0.25514197,0.254913329,0.32272067,,
3/10/2018,P1,Conventional,0.106470528,0.24608843,0.234329687,0.262505836,,
3/10/2018,P2,Conventional,0.069784507,0.230514906,0.249252085,0.318589037,,
3/10/2018,P3,Diverse,0.021909481,0.21811542,0.243699339,0.286639055,,
3/10/2018,P4,Diverse,0.042986773,0.25278913,0.254846554,0.322544063,,
3/11/2018,P1,Conventional,0.090664123,0.243853113,0.234406046,0.261643622,,
3/11/2018,P2,Conventional,0.056637083,0.229802575,0.249345051,0.317925162,,
3/11/2018,P3,Diverse,0.018675404,0.211889801,0.244047104,0.285729527,,
3/11/2018,P4,Diverse,0.037860043,0.247598189,0.254722409,0.322164273,,
3/12/2018,P1,Conventional,0.080690869,0.242428929,0.234223195,0.261204542,,
3/12/2018,P2,Conventional,0.052394218,0.228153901,0.249174624,0.317494776,,
3/12/2018,P3,Diverse,0.018904342,0.207388754,0.244008227,0.28527032,,
3/12/2018,P4,Diverse,0.038359398,0.243510365,0.254535751,0.321717373,,
3/13/2018,P1,Conventional,0.06747333,0.241005862,0.234106695,0.260840683,,
3/13/2018,P2,Conventional,0.045106907,0.225828163,0.248975332,0.317162696,,
3/13/2018,P3,Diverse,0.017548356,0.202763422,0.242863593,0.284763194,,
3/13/2018,P4,Diverse,0.036165824,0.239356981,0.254183391,0.321327591,,
3/14/2018,P1,Conventional,0.058392368,0.239478866,0.233921931,0.260415934,,
3/14/2018,P2,Conventional,0.044265783,0.223000324,0.248613097,0.316762795,,
3/14/2018,P3,Diverse,0.016499438,0.198304789,0.242428823,0.284189597,,
3/14/2018,P4,Diverse,0.036055625,0.235943647,0.253904182,0.32083372,,
3/15/2018,P1,Conventional,0.043843975,0.236398476,0.233751313,0.259920986,,
3/15/2018,P2,Conventional,0.038683649,0.218260644,0.248027461,0.316333197,,
3/15/2018,P3,Diverse,0.016080893,0.188953807,0.241896636,0.283625304,,
3/15/2018,P4,Diverse,0.034055368,0.228591153,0.252562008,0.320295041,,
3/16/2018,P1,Conventional,0.039972052,0.232894996,0.23370314,0.259236123,,
3/16/2018,P2,Conventional,0.039394529,0.21386849,0.245634857,0.315556455,,
3/16/2018,P3,Diverse,0.015254596,0.182085443,0.23878244,0.282571544,,
3/16/2018,P4,Diverse,0.034142173,0.222485196,0.247766892,0.319620249,,
3/17/2018,P1,Conventional,0.032878326,0.222208914,0.233604806,0.258611908,,
3/17/2018,P2,Conventional,0.037778562,0.21092578,0.244893965,0.31486098,,
3/17/2018,P3,Diverse,0.016026066,0.173914467,0.244541769,0.281711578,,
3/17/2018,P4,Diverse,0.034740126,0.211129513,0.247279662,0.318757742,,
3/18/2018,P1,Conventional,0.034901199,0.219157816,0.233424254,0.258069164,,
3/18/2018,P2,Conventional,0.045707987,0.210648461,0.243859914,0.314159325,,
3/18/2018,P3,Diverse,0.020050138,0.170794985,0.233210659,0.280889965,,
3/18/2018,P4,Diverse,0.042173077,0.207714351,0.246382929,0.317973603,,
3/19/2018,P1,Conventional,0.037201421,0.223608865,0.233187615,0.257668483,,
3/19/2018,P2,Conventional,0.052782628,0.211353274,0.242887098,0.313532928,,
3/19/2018,P3,Diverse,0.023318759,0.171306862,0.229473921,0.27998669,,
3/19/2018,P4,Diverse,0.046379973,0.211866416,0.245041504,0.317431349,,
3/20/2018,P1,Conventional,0.036156214,0.2258249,0.233061307,0.257364489,,
3/20/2018,P2,Conventional,0.048736366,0.211875455,0.242431889,0.313066369,,
3/20/2018,P3,Diverse,0.021102449,0.172281273,0.228827212,0.279242354,,
3/20/2018,P4,Diverse,0.043370884,0.216324577,0.244735084,0.317163843,,
3/21/2018,P1,Conventional,0.036374732,0.224363272,0.232762764,0.257201024,,
3/21/2018,P2,Conventional,0.047876846,0.211973481,0.241925169,0.312686028,,
3/21/2018,P3,Diverse,0.020817605,0.172852915,0.228018766,0.278666264,,
3/21/2018,P4,Diverse,0.042626696,0.217916039,0.244309109,0.316921794,,
3/22/2018,P1,Conventional,0.037226759,0.224905086,0.232274152,0.256922421,,
3/22/2018,P2,Conventional,0.04990187,0.212273326,0.241017878,0.312273854,,
3/22/2018,P3,Diverse,0.02111654,0.173378756,0.227181696,0.277982165,,
3/22/2018,P4,Diverse,0.044215399,0.219832321,0.243705473,0.316776608,,
3/23/2018,P1,Conventional,0.038683192,0.227004967,0.232062047,0.256668003,,
3/23/2018,P2,Conventional,0.055413123,0.212725394,0.240105997,0.311879086,,
3/23/2018,P3,Diverse,0.022456341,0.174115114,0.226922152,0.27730426,,
3/23/2018,P4,Diverse,0.047943123,0.222625419,0.243350795,0.316639515,,
3/24/2018,P1,Conventional,0.039850088,0.229823541,0.231424244,0.256472304,,
3/24/2018,P2,Conventional,0.059636546,0.212941011,0.239563849,0.311578296,,
3/24/2018,P3,Diverse,0.022905215,0.175345023,0.226668685,0.276631439,,
3/24/2018,P4,Diverse,0.050839542,0.224489119,0.24292993,0.316545066,,
3/25/2018,P1,Conventional,0.038243554,0.229707531,0.23101278,0.256272495,,
3/25/2018,P2,Conventional,0.053952071,0.212387772,0.238859133,0.311268498,,
3/25/2018,P3,Diverse,0.021318075,0.176447171,0.226264986,0.276041598,,
3/25/2018,P4,Diverse,0.047873727,0.226380785,0.242647173,0.316548518,,
3/26/2018,P1,Conventional,0.042001567,0.229841635,0.230851082,0.256061248,,
3/26/2018,P2,Conventional,0.064904051,0.211695974,0.23831929,0.310933714,,
3/26/2018,P3,Diverse,0.029566953,0.177072931,0.226173995,0.27570737,,
3/26/2018,P4,Diverse,0.059658506,0.22749942,0.242309479,0.31648287,,
3/27/2018,P1,Conventional,0.047705913,0.234871218,0.231624166,0.256026744,,
3/27/2018,P2,Conventional,0.083622401,0.210708839,0.238829761,0.310731547,,
3/27/2018,P3,Diverse,0.042764091,0.178953879,0.226728117,0.275566818,,
3/27/2018,P4,Diverse,0.076465617,0.230678513,0.242520651,0.316449479,,
3/28/2018,P1,Conventional,0.066358426,0.240259327,0.231550132,0.25608425,,
3/28/2018,P2,Conventional,0.125878366,0.214103356,0.238699023,0.310734979,,
3/28/2018,P3,Diverse,0.069443603,0.183312841,0.226603359,0.275578708,,
3/28/2018,P4,Diverse,0.106775038,0.237241206,0.242464522,0.316676385,,
3/29/2018,P1,Conventional,0.117637419,0.25298327,0.231950471,0.257608056,,
3/29/2018,P2,Conventional,0.164757139,0.232691702,0.24041688,0.312871724,,
3/29/2018,P3,Diverse,0.096452019,0.213935186,0.227257035,0.275901383,,
3/29/2018,P4,Diverse,0.134741302,0.265373297,0.242771126,0.319973479,,
3/30/2018,P1,Conventional,0.171302005,0.266742916,0.234667387,0.26315018,,
3/30/2018,P2,Conventional,0.183931204,0.251959531,0.248354214,0.319601723,,
3/30/2018,P3,Diverse,0.104554013,0.234673679,0.256965993,0.28096353,,
3/30/2018,P4,Diverse,0.140946402,0.27871898,0.254063025,0.3256637,,
3/31/2018,P1,Conventional,0.09811875,0.234271683,0.234900678,0.265079986,,
3/31/2018,P2,Conventional,0.112677741,0.272079791,0.248661655,0.319951769,,
3/31/2018,P3,Diverse,0.094659525,0.232826516,0.258638158,0.285047658,,
3/31/2018,P4,Diverse,0.128816819,0.273155522,0.255441576,0.325183384,,
